incident_id,timestamp,tool_id,product_id,line_id,input_units,good_units,scrap_units,rework_units,planned_minutes,downtime_minutes,unit_cost_proxy,unit_price_proxy,downtime_cost_per_min,event_type,event_note
INC-2024-032,21/03/2024 02:00,INSPECT-AZ1-02,COWOS-AI-HBM,LINE-AZ1-A,680,590,55,35,90,210,12.5,24.8,141.67,yield_loss,Inspection algorithm false positive rate elevated for new 2.5D substrate design. True yield estimated at 91% after recipe correction. Algorithm retrain in progress. Recipe qualification ongoing.
INC-2024-033,21/03/2024 04:00,WAFERSAW-AZ1-01,WLP-WEAR-64,LINE-AZ1-B,370,325,28,17,60,195,1.9,3.95,141.67,downtime,Chuck temperature deviation on wafer saw during first WLP production lot. Development process parameters not fully optimized for production tool. Parameter study underway. 3.25hr downtime.
INC-2024-034,21/03/2024 08:00,BONDER-AZ1-03,FC-BGA-HPC-512,LINE-AZ1-A,1300,1190,65,45,120,225,4.2,8.75,141.67,downtime,Alignment drift on new flip chip tool — floor isolation mount settling in new building section. Shim adjustment performed. Structural review of new wing initiated. Known issue with recent construction.
INC-2024-035,21/03/2024 10:00,WAFERSAW-K5-04,FC-BGA-HPC-512,LINE-K5-C,7300,6480,490,330,480,630,4.2,8.75,141.67,downtime,Wafer chuck control board failure. Board replaced at 01:00. 6 wafers with positional error quarantined. OEE impact on K5 for 72hr window now critical — three major downtime events on this line.
INC-2024-036,21/03/2024 12:00,FLUX-K6-03,FCCSP-MOB-256,LINE-K6-B,1950,1790,88,72,180,150,3.1,6.4,141.67,quality,Flux nozzle partial clog — dispense weight variation 12%. New flux formulation has higher viscosity than previous lot. Second nozzle event at K6 in 5 days. Nozzle size review required.
INC-2024-037,21/03/2024 14:00,UNDERFILL-J1-02,SIP-IOT-128,LINE-J1-B,2300,2050,145,105,240,195,2.15,4.5,141.67,quality,Underfill void — lot UI-2024-1102 confirmed at J1. Fourth factory affected by this material lot. K6 V1 PT1 J1 all confirmed. Supplier placed on corrective action. Full lot recall across all sites issued.
INC-2024-038,21/03/2024 16:00,REFLOW-P1-05,FCCSP-MOB-256,LINE-P1-C,4200,3620,335,245,360,390,3.1,6.4,141.67,downtime,Seventh EQ-THERM-01 occurrence across global fleet in 72hrs. P1 reflow zone heating element failure. Fleet-wide thermal drift pattern confirmed. OEM engineering team engaged for global fleet inspection.
INC-2024-039,21/03/2024 18:00,MOLD-T1-03,POP-MOB-128,LINE-T1-A,4400,3810,370,220,420,255,2.8,5.85,141.67,yield_loss,T1 consumed remaining inventory of quarantined compound MC-2024-0887 before stop notice arrived. 5 lots affected. 68% warpage out-of-spec rate on affected units. Enhanced bow measurement on all units initiated.
INC-2024-040,21/03/2024 20:00,WAFERSAW-PH1-02,EWLB-RF-32,LINE-PH1-C,1650,1490,95,65,180,150,3.3,6.85,141.67,downtime,Coolant nozzle partially blocked on eWLB wafer saw — blade temperature rise. 3 wafers with thermal damage to dicing streets. Coolant filtration cartridge overdue for replacement. Nozzle cleaned and flow verified.
INC-2024-041,22/03/2024 00:00,BONDER-K5-07,FC-BGA-HPC-512,LINE-K5-A,4900,4690,125,85,480,0,4.2,8.75,141.67,nominal,Post-recalibration production run — thermal drift resolved. Stage heater performing within spec. Yield recovery to 95.7%. Baseline reestablished after INC-001 event window.
INC-2024-042,22/03/2024 02:00,MOLD-K5-03,FC-BGA-HPC-512,LINE-K5-B,4100,3890,120,90,360,0,4.2,8.75,141.67,nominal,Production resumed with alternate mold compound lot MC-2024-0901. Warpage bow measuring 98µm — well within 150µm spec. Yield recovery confirmed. MC-2024-0887 quarantine holding across all sites.
INC-2024-043,22/03/2024 06:00,UNDERFILL-K6-02,COWOS-AI-HBM,LINE-K6-B,2100,2010,52,38,240,0,12.5,24.8,141.67,nominal,Underfill process resumed with replacement material lot UI-2024-1205. Corner void rate below 0.2% on first qualification lot. Material lot UI-2024-1102 fully recalled across all sites.
INC-2024-044,22/03/2024 08:00,REFLOW-J1-03,POP-MOB-128,LINE-J1-A,3800,3640,95,65,360,0,2.8,5.85,141.67,nominal,Reflow profile re-qualified after solder paste lot change. Bump height CPK at 1.42 — within spec. Paste rheology confirmed within new lot parameters. 340 quarantine units disposition complete.
INC-2024-045,22/03/2024 10:00,FLIPCHIP-P1-06,FCCSP-MOB-256,LINE-P1-A,2200,2090,65,45,240,0,3.1,6.4,141.67,nominal,Post-PM production run on FLIPCHIP-P1-06. Alignment offset resolved. X/Y delta within 3µm spec. PM overdue flag cleared. Recommending monthly PM schedule to prevent recurrence pattern observed over prior 30 days.
INC-2024-046,22/03/2024 12:00,REFLOW-PT1-02,FC-BGA-AUTO-512,LINE-PT1-B,5200,4990,120,90,480,0,5.1,10.2,141.67,nominal,Post-PSU replacement requalification complete. All zones within plus minus 1.5°C of profile target. Production resumed. Automotive customer lots back on schedule. 13.5hr downtime impact being assessed for on-time delivery impact.
INC-2024-047,22/03/2024 14:00,FLIPCHIP-AZ1-01,COWOS-AI-HBM,LINE-AZ1-A,600,578,14,8,60,0,12.5,24.8,141.67,nominal,Full production run post-fitting inspection. 2.5D placement offset within 2.8µm X 1.9µm Y. New substrate recipe performing within spec. AZ1 ramp trajectory on track for Q2 volume targets.
INC-2024-048,22/03/2024 16:00,TEST-K5-11,FC-BGA-HPC-512,LINE-K5-B,5100,4920,105,75,480,0,4.2,8.75,141.67,nominal,Post probe card replacement — full test run nominal. All channels verified. Handler socket inspection completed and cleared. Throughput recovery to 96.5% of planned rate.
INC-2024-049,22/03/2024 18:00,INSPECT-J1-07,WLP-WEAR-64,LINE-J1-C,3400,3250,95,55,360,0,1.9,3.95,141.67,nominal,Post blade replacement — visual inspection pass rate recovered to 93.8%. New blade set qualified and running. Wafer saw street width within spec across all monitored lots. Quarantine lot disposition complete.
INC-2024-050,22/03/2024 20:00,REFLOW-V1-04,FCCSP-MOB-256,LINE-V1-A,2600,2490,68,42,240,0,3.1,6.4,141.67,nominal,Post heating element replacement — reflow zone 3 temperature holding within plus minus 0.8°C of profile. Production resumed. EQ-THERM-01 fleet-wide inspection ongoing across all affected sites. V1 line cleared.
